source_,title,address,price,price_per_square_meter,area,rooms,market,buildyng_type,_1st_floor,floors,building_materials,windows,heating,year_of_build,trim_condition,rent,property_type,description,first_desc_title,first_desc,second_desc_title,second_desc,third_desc_title,third_desc,fourth_desc_title,fourth_desc,phone_number
https://www.otodom.pl/pl/oferta/mieszkanie-do-wynajecia-ul-suzina-warszawa-ID49Aao,Mieszkanie do wynajęcia ul. Suzina Warszawa,"Warszawa, Żoliborz, ul. Pawła Suzina 3",1 500 zł,N/A,27 m²,1,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Oferuję klimatyczną kawalerkę w doskonałej lokalizacji na Żoliborzu. Okolica zielona i spokojna.  Spacerem kilka minut do Metra Plac Wilsona.
Kamienica przy ulica Suzina, ciche, bezpieczne zamknięte podwórko, stojaki na rowery. Mieszkanie na drugim piętrze o powierzchni 27 m2, ciepłe i jasne. Duży, jasny, umeblowany pokój, oddzielna kuchnia z oknem, wyposażona w sprzęt AGD (w tym zmywarka), łazienka z kabiną prysznicową oraz obszerny przedpokój. Do uzgodnienia umeblowanie mieszkania.
Cena: 1500 zł + opłaty (spółdzielnia i media).
Kontakt bezpośredni do osoby odpowiadającej za wynajem: 785-110-090",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
https://www.otodom.pl/pl/oferta/mieszkanie-48-75-m-warszawa-ID49Aam,"Mieszkanie, 48,75 m², Warszawa","Warszawa, Wola, ul. Grzybowska",3 000 zł,N/A,"48,75 m²",2,N/A,apartamentowiec,5,9,inne,drewniane,miejskie,2018,do wykończenia,N/A,N/A,"Do wynajęcia nowoczesne mieszkanie 2 pokojowe o pow. 48,75 m2.Mieszkanie stylowe i nowoczesne, w pełni umeblowane, wyposażone w sprzęt AGD: zmywarka, płyta indukcyjne, piekarnik, lodówka, pralka. Parkiet drewniany w całym mieszkaniu.Wygodna łazienka z wanną.W mieszkaniu jest jasno dzięki dużym, panoramicznym oknom.Z salonu jest wyjście na ustawną loggię.Okna wychodzą na północ i zachód.Czynsz najmu 3000 zł + mediaDodatkowo istnieje możliwość wynajęcia miejsca postojowego.

Budynek:
Budynek oddany w 2018 roku.



Świetna lokalizacja w biznesowej części Woli, przy ul. Grzybowskiej 85, tuż obok Muzeum Powstania Warszawskiego. W odległości 500 metrów stacja Metra Rondo Daszyńskiego, 400m od Warsaw Spire i Hotelu Hilton.W najbliższym sąsiedztwie restauracje, kawiarnie, Lidl. Doskonały punkt komunikacyjny.
For rent a modern 2-room apartment with an area. 48.75 m2. Stylish and modern apartment, fully furnished, equipped with household appliances: dishwasher, induction hob, oven, refrigerator, washing machine. Wooden parquet throughout the apartment. Comfortable bathroom with bathtub. thanks to large, panoramic windows. The living room opens onto an adjustable loggia. The windows overlook the north and west. Rent 3000 PLN + utilities. Additionally, it is possible to rent a parking space.


Great location in the business part of Wola, at ul. Grzybowska 85, right next to the Warsaw Uprising Museum. At a distance of 500 meters from the Rondo Daszyńskiego metro station, 400m from Warsaw Spire and the Hilton Hotel. Restaurants, cafes, Lidl in the immediate vicinity. Excellent communication point.



PodstawowePowierzchnia : 48,75 m2
Rok : 2018
Czynsz : 3 000 PLN
Pokoi : 2

Podstawowe
Meble : Tak
Stan lokalu : Idealny
Piętro : 5

Pomieszczenia
Typ mieszkania : Apartament
Powierzchnia salonu : 20 m2
Typ kuchni : Otwarta
Liczba łazienek : 1
Typ okien : Drewniane (nowy typ),

Powierzchnia dodatkowa
Liczba balkonów : 1
Typ balkonów : Loggia,
Komórka : Nie
Ogród : Nie

Media i wyposażenie
Ogrzewanie : CO miejskie,
Ciepła woda : Wodociąg miejski,
Gaz : Nie

Miejsca parkingowe
Parking podziemny : 1

Budynek
Stan budynku : Stan deweloperski
Materiał : Mieszany
Pięter : 9
Winda : Tak

Opis
Wyposażenie kuchni : Lodówka, Meble w zabudowie kuchennej, Piekarnik, Płyta grzewcza elektryczna, Zmywarka,
Wyposażenie łazienek : Pralka, Umywalka, Wanna, WC,

Czynsz zawiera:
Czynsz administracyjny : Tak
Woda : Nie
Ogrzewanie : Nie
Prąd : Nie
Gaz : Nie


Więcej podobnych ofert nieruchomości na
Link do oferty: mieszkania[.]maxon[.]pl/oferta/19191_MW_MAX_O
Prezentowane oferty nie stanowią oferty w rozumieniu Kodeksu Cywilnego. Staramy się, aby informacje dotyczące oferowanych obiektów były możliwie dokładne, kompletne i aktualne. Ze względu na okoliczności, iż informacje te pochodzą od osób trzecich i część z nich nie zawsze daje się zweryfikować, MAXON Nieruchomości Sp. z o.o. nie ponosi odpowiedzialności za ich dokładność, kompletność i aktualność",Wyposażenie,meble,Zabezpieczenia,"domofon / wideofon
monitoring / ochrona",Informacje Dodatkowe,"balkon
winda",N/A,N/A,N/A
https://www.otodom.pl/pl/oferta/unikatowy-apartament-w-restaurze-gorskiego-ID49A3n,Unikatowy apartament w Restaurze Górskiego,"Warszawa, Śródmieście",16 000 zł,N/A,180 m²,5,N/A,N/A,5,6,N/A,N/A,miejskie,2010,N/A,N/A,N/A,"Restaura Górskiego to wyjątkowy apartamentowiec położony w centralnym miejscu, skąd pieszo można dojść na ul. Nowy Świat, Krakowskie Przedmieście do Ogrodu Saskiego, zrobić zakupy w ekskluzywnych butikach przy ul. Chmielnej, czy wypić czekoladę w Pijalni Wedla. Nowoczesne i wysokiej jakości wykończenie inwestycji połączone jest ze stylową architekturą wpisaną w klimat secesyjnych kamieniczek. Ogólnodostępne wnętrza wykończone są marmurem i drewnem. Elewacja to jasny piaskowiec. Reprezentacyjna recepcja. Obiekt chroniony jest całodobowo. Podziemny parking jest dwupoziomowy na 128 miejsc.
Przedmiotem wynajmu jest pięciopokojowy apartament o pow. 180 m² oraz jedna komórka lokatorska o pow. około 4,29 m² i dwa miejsca garażowe ( dodatkowo płatne).
Przestronny apartament został wykonany w wysokim standardzie.
W całości została utrzymana ciepła, jasna kolorystyka, która sprawia wrażenie domowej atmosfery.",Zabezpieczenia,monitoring / ochrona,Informacje Dodatkowe,"balkon
piwnica
garaż/miejsce parkingowe
winda
oddzielna kuchnia
pom. użytkowe",N/A,N/A,N/A,N/A,N/A
https://www.otodom.pl/pl/oferta/bez-prowizji-2-pok-w-kamienicy-klima-centrum-ID44jyL,Bez prowizji: 2-pok. w kamienicy |klima.| Centrum,"Warszawa, Śródmieście, Chopina",2 700 zł,N/A,38 m²,2,N/A,kamienica,6,7,N/A,plastikowe,N/A,N/A,N/A,N/A,N/A,"We speak English! If you’re interested, don’t hesitate to contact us.
-
#zostańwdomu: oferujemy m.in. możliwość wideoprezentacji mieszkań oraz podpisywanie umów najmu on-line
-
NIE POBIERZEMY od Ciebie PROWIZJI na żadnym z etapów najmu lokalu. Współpraca z nami jest całkowicie bezpłatna.
OPIS
Prezentowane mieszkanie jest umeblowanym 2-pokojowym apartamentem o wysokim standardzie. Znajduje się ono w pięknym budynku przy ul. Chopina 7 w bardzo dobrej lokalizacji.",Wyposażenie,"zmywarka
meble
piekarnik
telewizor
pralka",Informacje Dodatkowe,"klimatyzacja
winda",Pozostałe,wynajmę również studentom,N/A,N/A,N/A
https://www.otodom.pl/pl/oferta/ursynow-2-oddzielne-pokoje-taras-21m2-garaz-ID472MX,Ursynów 2 Oddzielne Pokoje-Taras 21M2-Garaż,"Warszawa, Ursynów, Gawota",2 550 zł,N/A,53 m²,2,N/A,blok,parter,2,cegła,N/A,N/A,2001,do zamieszkania,N/A,N/A,"MIESZKANIE 2-POKOJOWE: 53 m2 z Tarasem 21m2 i Garażem.
ADRES: Warszawa, ul. Gawota 6b
- 2 oddzielne pokoje, oddzielna kuchnia,
- mieszkanie ciche, dwustronne, okna od strony wschodniej i zachodniej,
- po remoncie, w pełni wyposażone (kuchnia, lodówka, pralka, TV) i umeblowane,
- żaluzje antywłamaniowe od strony tarasu (napęd elektryczny),",Zabezpieczenia,monitoring / ochrona,Media,"telewizja kablowa
internet
telefon",Informacje Dodatkowe,"garaż/miejsce parkingowe
oddzielna kuchnia",N/A,N/A,N/A
https://www.otodom.pl/pl/oferta/ursynow-al-ken-2-pokoje-garaz-ID47uQc,Ursynów - Al. Ken - 2 Pokoje - Garaż,"Warszawa, Ursynów, al. Komisji Edukacji Narodowej",2 400 zł,N/A,43 m²,2,N/A,apartamentowiec,3,5,N/A,N/A,miejskie,2011,do zamieszkania,N/A,N/A,"MIESZKANIE 2-POKOJOWE: 43 m2 z Garażem
100m. od stacji metra 'Kabaty', 3-cie piętro w 5-cio piętrowym budynku, teren ogrodzony, ochrona i monitoring,
mieszkanie jasne, w pełni wyposażone (kuchnia elektryczna, piekarnik, lodówka, pralka) i umeblowane, wysoki standard wykończenia i wyposażenia, nowoczesne wzornictwo,
miejsce garażowe pod budynkiem, windy z poziomu garażu, brama sterowana pilotem,
telewizja kablowa, internet na życzenie.
Cena 2050. Miejsce postojowe w garażu podziemnym w cenie. Dodatkowo płatne: czynsz dla administracji 350 PLN czyli 2400 oraz zużycie mediów (woda, prąd, ogrzewanie, śmiecie) wg liczników i stawek dostawców.",Zabezpieczenia,monitoring / ochrona,Media,"telewizja kablowa
internet
telefon",Informacje Dodatkowe,"balkon
garaż/miejsce parkingowe
winda",N/A,N/A,N/A
https://www.otodom.pl/pl/oferta/kameralny-apartamentowiec-miedzylesie-ID47pZS,"Kameralny Apartamentowiec, Międzylesie","Warszawa, Wawer",2 600 zł,N/A,37 m²,2,N/A,apartamentowiec,3,3,N/A,N/A,miejskie,2020,do zamieszkania,2 500 zł,N/A,"Prezentuję do wynajęcia nowoczesny apartament w budynku z 2020 roku. Budynek znajduje się w drugiej lini od ulicy Patriotów.
Ten kameralny apartamentowiec jak i mieszkania został wykonany w klimacie soft loftowym. Apartament, którego wysokość wynosi 320 cm znajduje się na 3 piętrze.
W budynku jest winda. Apartament czeka na swojego pierwszego mieszkańca.
W skład mieszkania wchodzą: salon z aneksem kuchennym- 21m2 z wyjściem na balkon ok 3m2; sypialnia - 10m2; łazienka- ok4m2 i niewielki przedpokój ok 2m2.
W budynku znajduje się garaż podziemny do którego można zjechać windą.
Miejsce postojowe można wynająć za dodatkową opłatą 250zł/miesiąc.
WAŻNE:
cena najmu: 2600zł/miesiąc + opłaty licznikowe;
kaucja: 2600zł;
opcjonalnie:
miejsce postojowe:
cena najmu: 250zł/miesiąc;
Komunikacja:
przystanek autobusowy w odległości 5 minut spacerem; stacja kolei podmiejskiej w odległości 7 minut spacerem.
W pobliżu:
restauracje, sklepy, galeria handlowa.
Polecam.",Zabezpieczenia,monitoring / ochrona,Informacje Dodatkowe,"balkon
garaż/miejsce parkingowe
winda",N/A,N/A,N/A,N/A,N/A
https://www.otodom.pl/pl/oferta/bardzo-ladne-2-pok-przy-ch-arkadia-ID47DkN,Bardzo ładne 2 pok. przy Ch Arkadia,"Warszawa, Wola, Muranów",2 300 zł,N/A,50 m²,2,N/A,blok,10,12,N/A,N/A,miejskie,1999,do zamieszkania,800 zł,N/A,"DO WYNAJĘCIA bardzo ładne i przestronne 2 pokojowe mieszkanie w doskonałej lokalizacji w centrum Warszawy (tuż obok CH Arkadia) wraz z garażem podziemnym.
Mieszkanie znajduje się na 10 piętrze strzeżonego bloku.
Mieszkanie jest słoneczne, okna wychodzą na stronę wschodnią i południowo - zachodnią. Składa się z dużego salonu wraz z loggią, osobną kuchnią, łazienką, jedną sypialnią i hallem. Kuchnia w pełni zabudowana i wyposażona w sprzęt AGD. Lokal częściowo umeblowany.
Do mieszkania przynależy 1 miejsce parkingowe w garażu podziemnym (W CENIE).",Zabezpieczenia,monitoring / ochrona,Informacje Dodatkowe,"garaż/miejsce parkingowe
winda
oddzielna kuchnia",N/A,N/A,N/A,N/A,N/A
https://www.otodom.pl/pl/oferta/pieknie-wykonczony-przytulny-apartament-w-centrum-ID49zEl,"Pięknie wykończony, przytulny apartament w Centrum","Warszawa, Wola, Mirów, Pańska",2 700 zł,N/A,40 m²,2,N/A,apartamentowiec,3,8,cegła,N/A,miejskie,2011,do zamieszkania,N/A,N/A,"Nowoczesność i funkcjonalność połączone wysmakowanym designem.
Główne atuty nieruchomości:
• prestiżowa lokalizacja
• doskonała komunikacja z centrum
• wysoki standard wykończeń
Nieruchomość złożona z:
• salon 12 m.kw
• sypialnia 10 m.kw
• kuchnia otwarta z oknem 5 m.kw
• łazienka 6 m.kw
• przedpokój 2 m.kw
• garderoba 5 m.kw",Zabezpieczenia,monitoring / ochrona,Media,"telewizja kablowa
internet",Informacje Dodatkowe,"winda
oddzielna kuchnia",N/A,N/A,N/A
https://www.otodom.pl/pl/oferta/2-pokoje-wysoki-standard-jana-kazimierza-1-wynajem-ID49zE0,2 pokoje wysoki standard Jana Kazimierza 1 wynajem,"Warszawa, Wola, ul. Jana Kazimierza",2 500 zł,N/A,45 m²,2,N/A,apartamentowiec,9,11,N/A,N/A,miejskie,2020,do zamieszkania,400 zł,N/A,"Bez prowizji od najemcy
Do wynajęcia mieszkanie 2-pokojowe o powierzchni 45 m2 usytuowane na 9 piętrze w 11 piętrowym budynku zlokalizowane przy ul. Jana Kazimierza 35. 
Mieszkanie znajduje się na zamkniętym osiedlu z monitoringiem, ochroną i recepcją. 
Lokal został w pełni wyposażony w zabudowę kuchenną, sprzęty RTV AGD oraz meble na wymiar w każdym z pomieszczeń. 
Lokal składa się z:
salonu z aneksem kuchennym w którym to posiadamy okrągły stół wraz z krzesłami, kanapę, TV oraz stolik pod TV (nie widać go na zdjęciach, mogę dosłać ich aktualizację), zabudowę kuchenną z płytą indukcyjną, piekarnikiem, zmywarką, okapem; ",Wyposażenie,"zmywarka
lodówka
meble
piekarnik
kuchenka
telewizor
pralka",Zabezpieczenia,"drzwi / okna antywłamaniowe
teren zamknięty
domofon / wideofon
monitoring / ochrona",Informacje Dodatkowe,"balkon
garaż/miejsce parkingowe
winda",N/A,N/A,N/A
