source_,title,address,price,price_per_square_meter,area,rooms,market,buildyng_type,_1st_floor,floors,building_materials,windows,heating,year_of_build,trim_condition,rent,property_type,description,first_desc_title,first_desc,second_desc_title,second_desc,third_desc_title,third_desc,fourth_desc_title,fourth_desc,phone_number
https://www.otodom.pl/pl/oferta/al-ken-2-pokoje-63m2-metro-natolin-ID4a0ZS,Al Ken 2 pokoje 63m2 metro Natolin,"Warszawa, Ursynów, Natolin, al. Komisji Edukacji Narodowej",1 700 zł,N/A,63 m²,2,N/A,N/A,1,8,cegła,N/A,miejskie,2005,do zamieszkania,N/A,N/A,"Oferujemy do wynajęcia mieszkanie dwupokojowe o pow 63m2 przy Al KEN 50 na Ursynowie - Natolinie. Salon 25m2 (kanapa narożnik, ława, stolik TV, telewizor) i sypialnia 16m2 (szafa, meble dla dziecka - możliwość zabrania mebli ze zdjęć). Kuchnia w aneksie 10m2 umeblowana oddzielona od pokoju dużym barkiem, wyposażenie (lodówka, piekarnik, płyta elektryczna, okap). Łazienka 6m2 z wanna i pralką.
Budynek położony blisko metra Natolin, wokół sklepy, punkty usługowe, restauracje oraz szkoły i przedszkola.
Mieszkanie bez miejsca garażowego, ale możliwość parkowania przy budynku na ogólnodostępnych miejscach.
Do wynajęcia od zaraz.
Czynsz najmu 1700 zł plus czynsz administracyjny 598zł + prąd.
***POLECAM I ZAPRASZAM DO OGLĄDANIA ***",Media,"telewizja kablowa
internet
telefon",Informacje Dodatkowe,"balkon
winda",N/A,N/A,N/A,N/A,N/A
https://www.otodom.pl/pl/oferta/luksusowy-apartament-w-inwestycji-na-powislu-ID4a0YJ,Luksusowy apartament w inwestycji Na Powiślu,"Warszawa, Śródmieście, Powiśle, Leona Kruczkowskiego",8 500 zł,N/A,100 m²,4,N/A,apartamentowiec,4,6,N/A,N/A,miejskie,2008,do zamieszkania,N/A,N/A,"Luksusowy apartament w inwestycji Na Powiślu
ENGLISH DESCRIPTION BELOW - PLEASE DO NOT HESITATE TO CONTACT US
Hamilton May prezentuje luksusowy apartament w nowym apartamentowcu w pięknym otoczeniu zielonych parków Powiśla.


→ OPIS NIERUCHOMOŚCI
Apartament o powierzchni 100 m2 składa się z salonu z wyjściem na balkon. Salon połączony jest z częściowo otwartą widną kuchnią. Ponadto w apartamencie znajduje się sypialnia małżeńska z łazienką z prysznicem i wanną, sypialnia gościnna, pokój, łazienka gościnna z prysznicem.
Apartament jest umeblowany i wyposażony.
Do apartamentu przynależy jedno miejsce parkingowe w garażu podziemnym.",Wyposażenie,"zmywarka
lodówka
meble
kuchenka
pralka",Informacje Dodatkowe,taras,N/A,N/A,N/A,N/A,N/A
https://www.otodom.pl/pl/oferta/kamienica-z-winda-wys-3-25-ID4a0Yr,"Kamienica Z Windą!!!Wys. 3,25!!!","Warszawa, Śródmieście",3 100 zł,N/A,"64,50 m²",3,N/A,kamienica,3,5,N/A,N/A,miejskie,1902,N/A,N/A,N/A,"CICHE W KAMIENICY Z WINDĄ!!!BLISKO METRA!!!
Klimatyczne mieszkanie w świeżo wyremontowanej kamienicy z WINDĄ!!!Charakterystyczna dla kamienicy wysokość sufitu, 3,25 nadaje dodatkowy efekt przestrzeni. Salon, oddzielna, widna kuchnia, cicha sypialnia z dużą szafą i niewielkim balkonem, gabinet. Łazienka z prysznicem, w łazience okno! Mieszkanie umeblowane i wyposażone.
Zadbana kamienica z zamykanym podwórkiem.
Możliwość korzystania z piwnicy.",Informacje Dodatkowe,"balkon
piwnica
winda",N/A,N/A,N/A,N/A,N/A,N/A,N/A
https://www.otodom.pl/pl/oferta/3-pokojowe-sady-zoliborskie-dobrze-skomunikowane-ID4a0Ta,"3-pokojowe, Sady Żoliborskie, dobrze skomunikowane","Warszawa, Żoliborz, Sady Żoliborskie, Władysława Broniewskiego",2 000 zł,N/A,"56,20 m²",3,N/A,blok,6,10,wielka płyta,plastikowe,miejskie,1980,do zamieszkania,550 zł,N/A,"Oto zielony Żoliborz. Przedstawiam Państwu 3 pokojowe, wyremontowane i urządzone w pełni mieszkanie, które z pewnością zainteresuje niejednego lokatora Stolicy.
LOKALIZACJA
Mieszkanie znajduje się na szóstym piętrze 10-piętrowego bloku. Mieści się tuż przy ulicy Broniewskiego w dobrze skomunikowanej części dzielnicy. W bezpośrednim sąsiedztwie: Supermarket Auchan, Park Sady Żoliborskie, Szkoły, mniejsze sklepy oraz punkty usługowe
Najbliższa komunikacja miejska",Wyposażenie,meble,Informacje Dodatkowe,"balkon
garaż/miejsce parkingowe
winda",N/A,N/A,N/A,N/A,N/A
https://www.otodom.pl/pl/oferta/stylowy-apartament-2-pokoje-z-garazem-w-cenie-ID4a0RH,"Stylowy Apartament, 2 pokoje z garażem w cenie","Warszawa, Mokotów, Mariana Zdziechowskiego",2 300 zł,N/A,39 m²,2,N/A,apartamentowiec,3,7,N/A,drewniane,miejskie,2017,do zamieszkania,400 zł,N/A,"Oto przed Państwem wyjątkowy, 2-pokojowy, mokotowski Apartament położony w drugiej linii budynków tuż przy ulicy Domaniewskiej. W tym urządzonym z prawdziwą klasą miejscu, odnajdą Państwo spokój i możliwość zrelaksowania się po całym dniu pracy. Apartament jest dostępny do wynajęcia już od 10.02.2021
LOKALIZACJA
Apartament znajduje się w budynku, który położony jest w drugiej linii zabudowy, tuż przy ulicy Domaniewskiej, pomiędzy Aleją Niepodległości, gdzie znajdą Państwo stację Metro Wilanowska, a ulicą Wołoską, gdzie z kolei znajduje się Galeria Mokotów (15 minut piechotą). Z pewnością, miejsce to będzie interesujące dla osób pracujących w pobliskich centrach biznesowych oraz osób, dla których bliskość lotniska będzie miała szczególne znaczenie (do Lotniska Chopina jest 10 minut drogi samochodem).
Dzięki temu wygodnemu położeniu, przyszli lokatorzy zyskają nie tylko komfort korzystania z wygodnej i różnorodnej komunikacji miejskiej, ale również dogodne połączenie z drogami prowadzącymi do Łodzi, Poznania, Katowic, Krakowa, czy Lublina.
W najbliższej okolicy znajdziecie Państwo także wiele miejsc użyteczności publicznej: małych i większych sklepów, lokalnych restauracji, aptek,",Wyposażenie,meble,Zabezpieczenia,monitoring / ochrona,Informacje Dodatkowe,"balkon
winda",N/A,N/A,N/A
https://www.otodom.pl/pl/oferta/w-pelni-wyposazone-mieszkanie-na-kabatach-ID4a0P7,W pełni wyposażone mieszkanie na Kabatach,"Warszawa, Ursynów, Kabaty, Stryjeńskich",1 800 zł,N/A,52 m²,2,N/A,blok,3,6,pustak,N/A,miejskie,2000,do zamieszkania,N/A,N/A,"Rozkładowe, przestronne mieszkanie z balkonem na Kabatach, 10minut spacerem od metra
Główne atuty nieruchomości:
• bliskość komunikacji miejskiej
• cicha i spokojna okolica
• rozkład pomieszczeń
Nieruchomość złożona z:
• kuchnia otwarta z oknem 11 m.kw
• salon 20 m.kw
• sypialnia 12 m.kw
• łazienka 6 m.kw
• przedpokój 3 m.kw",Zabezpieczenia,monitoring / ochrona,Media,"telewizja kablowa
internet",Informacje Dodatkowe,"balkon
winda
oddzielna kuchnia",N/A,N/A,N/A
https://www.otodom.pl/pl/oferta/mokotow-dwa-pokoje-przy-metrze-ID4a0O9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
https://www.otodom.pl/pl/oferta/warszawa-srodmiescie-grzybowska-12-14-ID4a0Mt,"Warszawa, Śródmieście, Grzybowska 12/14","Warszawa, Śródmieście, Grzybowska",3 400 zł,N/A,58 m²,2,N/A,apartamentowiec,7,10,inne,drewniane,miejskie,2004,N/A,N/A,N/A,"Apartment w ścisłym centrum z tarasem i garażem ENGLISH BELOW.
Zapraszamy do wynajęcia apartamentu przy ul. Grzybowskiej w ścisłym centrum!
Mieszkanie znajduję się na 7 piętrze 10 piętrowego apartamentowca. Wykończone w wysokim standardzie z przestronnym tarasem o wielkości 30m!
Apartament składa się z dużego salonu połączonego z kuchnią oraz wyjścia na taras. W przedpokoju duża szafa w zabudowie. Korytarz do sypialni posiada dużą szafę wnękową oraz nieduże pomieszczenie gospodarcze. Łazienka z wanną oraz szybą prysznicową połączona z sypialnią szklaną ścianą pozwalając na wpuszczenie światła dziennego do łazienki. W sypialni łóżko oraz szafa wbudowana.
Mieszkanie umeblowane - możliwość wynajęcia bez mebli.
Do mieszkania przynależy miejsce parkingowe w garażu podziemnym.
W budynku ochrona całodobowa.
Czynsz administracyjny oraz parking w cenie wynajmu. Do rozliczenia tylko prąd i ponadnormatywne zużycie wody. Kaucja jednomiesięczna.
Mieszkanie dostępne od końca lutego.
We present you an apartment at Grzybowska street in the city center!
The apartment is located on the 7th floor of a 10-story apartment building. Finished to a high standard with a spacious 30m terrace!
The apartment has a large living room with kitchen and access to the terrace. In the hall there is a large built-in wardrobe. The corridor to the bedroom has a large built-in wardrobe and a small utility room. Bathroom with a bathtub and a shower glass connected with bedroom by a glass wall that allows daylight to enter the bathroom. The bedroom has a kingsize bed and a built-in wardrobe.
Furnished apartment - possibility of rent without furniture.
A parking space in the underground garage. Safeguards 24h/7 in the building.
Administrative rent and parking included in the rental price. Only electricity and excessive water consumption to be settled. One month deposit.
The apartment is available from the end of February.",Zabezpieczenia,"domofon / wideofon
monitoring / ochrona",Media,"telewizja kablowa
internet",Informacje Dodatkowe,"balkon
garaż/miejsce parkingowe
winda",N/A,N/A,N/A
https://www.otodom.pl/pl/oferta/kawalerka-25-m2-dworzec-gdanski-balkon-ID43Vf3,Kawalerka 25 m2 | Dworzec Gdański | Balkon,"Warszawa, Żoliborz, Stary Żoliborz, gen. Józefa Zajączka",1 750 zł,N/A,25 m²,1,N/A,blok,7,7,N/A,N/A,miejskie,1997,N/A,N/A,N/A,"Numer oferty w biurze: 4040/4186/OMW
Do wynajęcia mieszkanie znajdujące się na 8 budynku mieszkalnego z windą. Ze względu na lokalizację, istnieje szeroki dostęp do punktów handlowych i usługowych (m.in. CH Arkadia, Biedronka, małe sklepy spożywcze, apteki), kawiarni, restauracji, ścieżek rowerowych, czy tras spacerowych. W pobliżu liczne przystanki komunikacji miejskiej, w tym metro. Budynek znajduje się na terenie ogrodzonym.
UKŁAD POMIESZCZEŃ:
Na mieszkanie o powierzchni 25 m2 składa się: przedpokój, salon z aneksem kuchennym, łazienka z toaletą.
STANDARD I WYPOSAŻENIE:
Mieszkanie jest umeblowane oraz wyposażone w sprzęty, m. in.:
- meble: kanapa rozkładana, szafa, stół z krzesłami, komody,
- sprzęt RTV i AGD: lodówko-zamrażarka, płyta gazowa, pralka
- inne: prysznic",Wyposażenie,meble,Media,"telewizja kablowa
internet
telefon",Informacje Dodatkowe,"balkon
garaż/miejsce parkingowe
winda",N/A,N/A,N/A
https://www.otodom.pl/pl/oferta/st-ochota-piekne-54m2-2-oddzielne-pok-meble-garaz-ID4a0JU,"St. Ochota-piękne 54m2,2 oddzielne pok.meble,garaż","Warszawa, Ochota, Aleje Jerozolimskie",2 250 zł,N/A,54 m²,2,N/A,apartamentowiec,6,14,N/A,N/A,miejskie,2000,do zamieszkania,N/A,N/A,"Piękne mieszkanie w rewelacyjnym miejscu. Najlepsza komunikacja we wszystkie kierunki W-wy. 4 przystanki do Dworca Centralnego, przystanek do pl. Zawiszy. Przystanek do Dworca Zachodniego. 54 m2, 2 niezależne pokoje, oddzielnie widna kuchnia, łazienka, p. pokój, duży balkon na stronę południową. Ciche! Wszystkie okna wychodzą na wewnętrzną stronę. Budynek z 2000 roku z garażami i ochroną. Mieszkanie nowoczesne, po remoncie, umeblowane i wyposażone . W kuchni zmywarka, w łazience pralka. W sypialni łóżko 2-osobowe, w salonie narożna, nowa rozkładana kanapa. Czynsz wynosi 2150,- zl plus liczniki i śmieci. Do mieszkania przynależy miejsce postojowe w garażu podziemnym, dodatkowo płatne 250,- pln.
Wynajem na dłuższy czas, min. rok. Kaucja miesięczna. Wolne od już. Kontakt 602 668-217
* Niniejsza oferta nie stanowi oferty handlowej w rozumieniu przepisów Kodeksu Cywilnego
* Niniejsza oferta nie stanowi oferty handlowej w rozumieniu przepisów Kodeksu Cywilnego *
* Oświadczenie
1) Oświadczam, że zapoznałam/em się z treścią klauzuli informacyjnej.
2) Na podstawie art. 6 ust.1 Rozporządzenia o Ochronie Danych Osobowych z dnia 27 kwietnia 2016r. wyrażam zgodę na przetwarzanie moich danych osobowych w celu:
- otrzymywania informacji handlowych drogą elektroniczną
- otrzymywania informacji marketingowych",Wyposażenie,meble,Zabezpieczenia,monitoring / ochrona,Media,"telewizja kablowa
internet",Informacje Dodatkowe,"balkon
garaż/miejsce parkingowe
winda",N/A
